startdate,operator,scriber,cleaving,Lot,Needle_maker,Needle_No,scribe_length,scribe_force,unseparate,peeling
2025-03-02 22:25:48,JC2024097,8,12,24L2D1ALSCg00,Asahi,540.0,156.8,12.2,0.0,2.0
2025-03-02 22:59:07,JC2019007,7,11,24L2D1ALXAb01,Asahi,542.0,155.4,11.8,0.79,2.0
2025-03-03 05:23:33,JC2019007,3,6,24LONS280Bg00,Asahi,539.0,149.5,12.4,0.0,
2025-03-03 06:34:32,JC2019007,2,4,24KDSJ134Bc00,Asahi,541.0,160.7,7.0,0.0,
2025-03-03 08:12:17,JC2024097,6,9,24L7DF958Cc01,Asahi,543.0,151.4,11.9,0.0,0.0
2025-03-03 08:40:40,JC2019007,5,8,24G3NT289Cb00,Asahi,544.0,151.4,12.4,1.53,
2025-03-03 09:54:29,JC2024111,8,12,24L7DF958Cg01,Asahi,540.0,156.8,12.2,0.0,0.0
2025-03-03 10:14:35,JC2024111,7,11,24L8DHA0CCg01,Asahi,542.0,155.4,11.8,0.5,1.0
2025-03-03 14:58:26,JC2024041,3,6,24L8DHA0EBb01,Asahi,545.0,149.1,12.3,0.0,0.0
2025-03-03 15:13:20,JC2024041,2,4,24L8DHA0EAb01,Asahi,541.0,160.7,7.0,0.0,0.0
2025-03-03 18:47:06,JC2024111,4,7,24LBDE988Ab01,Ogura,9.0,150.8,12.1,0.4,0.0
2025-03-03 19:44:10,JC2024041,7,11,24LBDE988Cc01,Asahi,542.0,144.2,11.9,0.1,0.0
2025-03-03 23:04:33,JC2019007,5,8,24LBDE989Bf00,Asahi,544.0,150.9,12.2,0.5,1.0
2025-03-03 23:25:02,JC2019007,6,9,24LBDE991Dh00,Asahi,543.0,149.8,12.1,3.5,1.0
2025-03-04 00:04:43,JC2019007,2,4,24LBDE991Cf00,Asahi,541.0,160.3,7.0,0.0,0.0
2025-03-04 01:32:43,JC2019007,3,6,24J9NU370Be01,Asahi,545.0,147.8,12.4,0.0,
2025-03-04 02:54:19,JC2019007,7,11,24LBDE987Ad01,Asahi,542.0,157.0,11.8,0.0,0.0
2025-03-04 04:17:19,JC2019007,8,12,24LBDE986Dg01,Asahi,546.0,150.8,12.2,0.0,0.0
2025-03-04 08:06:37,JC2024097,6,9,24LBDE991Ag01,Asahi,547.0,154.2,12.3,0.0,2.0
2025-03-04 09:36:46,JC2024041,5,8,24LBDE997Da00,Asahi,544.0,150.9,12.2,1.2,1.0
2025-03-04 09:54:19,JC2024041,6,9,24LBDE991Dc01,Asahi,547.0,154.2,12.3,0.0,2.0
2025-03-04 10:18:09,JC2024041,7,11,24LBDE992Ac01,Asahi,542.0,157.0,11.8,0.0,1.0
