Serial_Number,Part_Number,Start_Date_Time,Operation,TestStation,Site,LotNumber_9,Mapper_Average_Mapper_PL_Lambda2,operator,part_number,serial_number,start_date_time
,,2016-05-25T13:37:57,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-25T13:37:57
,,2016-05-25T17:47:31,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-25T17:47:31
,,2016-05-26T05:20:57,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-26T05:20:57
,,2016-07-21T23:21:07,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-07-21T23:21:07
,,2016-07-22T04:10:08,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-07-22T04:10:08
,,2016-07-22T11:49:19,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-07-22T11:49:19
,,2016-07-22T20:52:52,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-07-22T20:52:52
,,2016-07-23T01:05:44,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-07-23T01:05:44
,,2016-07-25T04:38:23,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-07-25T04:38:23
,,2016-07-25T11:44:12,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-07-25T11:44:12
,,2016-08-01T03:51:55,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-01T03:51:55
,,2016-08-01T11:47:11,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-01T11:47:11
,,2016-08-01T16:12:43,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-01T16:12:43
,,2016-08-02T00:29:12,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-02T00:29:12
,,2016-08-03T01:27:23,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-03T01:27:23
,,2016-08-03T05:35:35,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-03T05:35:35
,,2016-08-08T21:01:54,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-08T21:01:54
,,2016-08-09T13:17:37,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-09T13:17:37
,,2016-08-09T21:09:47,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-09T21:09:47
,,2016-08-10T01:10:07,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-10T01:10:07
,,2016-08-10T17:31:03,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-10T17:31:03
,,2016-08-18T15:22:53,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-18T15:22:53
,,2016-08-18T21:22:42,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-18T21:22:42
,,2016-08-19T05:20:31,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-19T05:20:31
,,2016-08-19T14:44:52,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-19T14:44:52
,,2016-08-20T00:29:36,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-20T00:29:36
,,2016-08-22T04:48:16,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-22T04:48:16
,,2016-08-22T12:05:43,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-22T12:05:43
,,2016-08-22T18:43:01,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-22T18:43:01
,,2016-08-22T22:58:47,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-22T22:58:47
,,2016-08-23T04:15:36,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-23T04:15:36
